1,1-диметилциклобутан	0.718	г/см³
1,1-диметилциклопропан	0.6589	относительно воды при 4°C
1,1-дихлорэтан	1.1757	относительно воды при 4°C
1,1-дихлорэтен	1.25	относительно воды при 4°C
1,1-диэтоксиэтан	0.8254	относительно воды при 4°C
1,1,1-трифтор-2,4-пентандион	1.27	относительно воды при 4°C
1,1,1-трифторэтан	0.00378	г/см³
1,1,1,2-тетрахлорэтан	1.5424	г/см³
1,1,1,2-тетрахлорэтан	1.588	г/см³
1,1,1,3,3,3-гексаметилдисилазан	0.7742	относительно воды при 4°C
1,1,2-триметил-2-этилциклопропан	0.7422	относительно воды при 4°C
1,1,2-трихлорэтан	1.4416	г/см³
1,1,2,2-тетрабромэтан	2.96725	относительно воды при 4°C
1,1,3-триметилциклогексан	0.7788	относительно воды при 4°C
1,1,3,3-тетранитроциклобутан	1.83	г/см³
1,1'-бифенил	0.9919	г/см³
1,1'-бифенил	1.18	г/см³
1,2-бензолдикарбоновая кислота	1.593	г/см³
1,2-дибром-1,1,2,2-тетрафторэтан	2.149	г/см³
1,2-дибромбензол	1.9843	относительно воды при 4°C
1,2-дибромоктан	1.0878	относительно воды при 4°C
1,2-дибромпропан	1.9224	относительно воды при 4°C
1,2-дибромэтан	2.1785	относительно воды при 4°C
1,2-дииод-1,1,2,2-тетрафторэтан	2.6293	относительно воды при 4°C
1,2-дииодэтан	3.325	г/см³
1,2-диметил-3-нитробензол	1.147	г/см³
1,2-диметил-4-нитробензол	1.139	г/см³
1,2-диметилбензол	0.8802	относительно воды при 4°C
1,2-диметилдиазен	0.744	относительно воды при 15°C
1,2-диметоксибензол	1.0819	относительно воды при 4°C
1,2-диметоксибензол	1.091	г/см³
1,2-диметоксиэтан	0.8692	г/см³
1,2-динитробензол	1.565	г/см³
1,2-дипропилбензол	0.8732	относительно воды при 4°C
1,2-дифенилэтандион	1.084	г/см³
1,2-дифенилэтандион	1.23	г/см³
1,2-дихлорбензол	1.3048	относительно воды при 4°C
1,2-дихлорэтан	1.257	относительно воды при 4°C
1,2-дихлорэтан	1.2576	г/см³
1,2-пропандиол	1.0361	относительно воды при 4°C
1,2-этандитиол	1.123	г/см³
1,2,3-триметилбензол	0.89438	относительно воды при 4°C
1,2,3-триметокси-5-(проп-2-енил)бензол	1.063	г/см³
1,2,3-триметоксибензол	1.0987	г/см³
1,2,3,4-тетрагидронафталин	0.9702	относительно воды при 4°C
1,2,3,4-тетраметилбензол	0.9052	г/см³
1,2,4-триметилбензол	0.8758	относительно воды при 4°C
1,2,4-тринитробензол	1.73	г/см³
1,2,4,5-тетраметилбензол	0.838	относительно воды при 4°C
1,3-бензолдиол	1.285	г/см³
1,3-дибромбензол	1.9523	относительно воды при 4°C
1,3-дибромпропан	1.9822	относительно воды при 4°C
1,3-дииодпропан	2.563	относительно воды при 4°C
1,3-диметил-2,4,6-тринитробензол	1.604	г/см³
1,3-диметилбензол	0.8642	относительно воды при 4°C
1,3-диметоксибензол	1.01	г/см³
1,3-диоксопропадиен	1.114	г/см³
1,3-дитиооксопропадиен	1.27	г/см³
1,3-дифенилпроп-2-ен-1-он	1.071	г/см³
1,3-дифторпропан	1	относительно воды при 4°C
1,3-дихлорпропан-2-ол	1.367	относительно воды при 4°C
1,3-пропандиол	1.0526	относительно воды при 4°C
1,3-циклопентадиен	0.8046	относительно воды при 4°C
1,3,3-тринитроазетидин	1.84	г/см³
1,3,5-триазин-2,4,6-триамин	1.571	г/см³
1,3,5-триамино-2,4,6-тринитробензол	1.93	г/см³
1,3,5-триметилбензол	0.86518	относительно воды при 4°C
1,3,5-тринитробензол	1.688	г/см³
1,3,5-триоксан	1.17	г/см³
1,3,5,7-циклооктатетраен	0.9206	относительно воды при 4°C
1,4-бензолдикарбоновой кислоты диметиловый эфир	1.084	г/см³
1,4-бензохинон	1.318	г/см³
1,4-дибромбензол	2.2836	относительно воды при 4°C
1,4-дибромбутан	1.789	относительно воды при 4°C
1,4-диметил-7-этилазулен	0.9883	относительно воды при 4°C
1,4-диметилбензол	0.8611	относительно воды при 4°C
1,4-диметоксибензол	1.053	г/см³
1,4-диоксан	1.03375	г/см³
1,4-дифенилбензол	1.234	г/см³
1,5-диамино-4-метил-1H-тетразолия азид	1.417	расчетная рентгеновская плотность, г/см³
1,5-диамино-4-метил-1H-тетразолия динитрамид	1.719	расчетная рентгеновская плотность, г/см³
1,5-диамино-4-метил-1H-тетразолия нитрат	1.506	расчетная рентгеновская плотность, г/см³
1,5-диаминотетразола нитрат	1.727	расчетная рентгеновская плотность, г/см³
1,5-диаминотетразола перхлорат	1.902	расчетная рентгеновская плотность, г/см³
1,5-дифтор-1,1,3,5,5-пентанитро-3-азапентан	1.91	г/см³
1,5-пентандиамин	0.873	г/см³
1,6-диаза-3,4,8,9,12,13-гексаоксабицикло[4.4.4]тетрадекан	1.57	г/см³
1,8-бис((3-диметилкарбамоксипиридил-2-метил)диметиламмоний)октана дибромид	1.33	г/см³
11-бутилдокозан	0.8046	г/см³
15-краун-5	1.113	относительно воды при 4°C
2-([2-хлорфенил]метилен)пропандинитрил	1.04	г/см³
2-(2-гидроксиэтиламино)этанол	1.0966	относительно воды при 4°C
2-(2-гидроксиэтокси)этанол	1.1177	г/см³
2-(2-гидроксиэтокси)этанол	1.132	г/см³
2-(2,5-диметоксифенил)этанамин	1.089	г/см³
2-(3,4-диметоксифенил)этанамин	1.074	г/см³
2-(4,6-диазидо-1,3,5-триазинилазо)-4,6-диазидо-1,3,5-триазин	1.724	г/см³
2-(диметиламино)этанол	0.8866	относительно воды при 4°C
2-(пропан-2-илокси)пропан	0.7247	г/см³
2-(пропан-2-илокси)пропан	0.7258	г/см³
2-(N-метил-N-нитроаминометил)-5-нитротетразол	1.735	г/см³
2-[2-(2-гидроксиэтокси)этокси]этанол	1.1254	г/см³
2-[2-(2-гидроксиэтокси)этокси]этанол	1.1274	относительно воды при 4°C
2-[N,N-бис(2-гидроксиэтил)амино]этанол	1.1258	относительно воды при 20°C
2-аллилоксиэтанол	0.958	г/см³
2-аллилфенол	1.0246	г/см³
2-аминобензойная кислота	1.412	г/см³
2-аминоэтанол	1.0159	относительно воды при 4°C
2-аминоэтанол	1.018	г/см³
2-бром-1,1,1-трифтор-2-хлорэтан	1.87	г/см³
2-бром-2-метилпропан	1.2209	относительно воды при 4°C
2-бромнафталин	1.605	г/см³
2-бромпропан	1.31	г/см³
2-бутанона оксим	0.9232	г/см³
2-бутиндинитрил	1.017	относительно воды при 4°C
2-бутоксиэтанол	0.9011	относительно воды при 15°C
2-бутоксиэтанол	0.9027	относительно воды при 4°C
2-гидрокси-1,2-дифенилэтанон	1.31	г/см³
2-гидрокси-2-метилпропаннитрил	0.932	г/см³
2-гидрокси-5-метоксибензальдегид	1.219	г/см³
2-гидроксибензальдегид	1.1669	г/см³
2-гидроксибензойная кислота	1.443	г/см³
2-изопропил-5-метилфенол	0.969	относительно воды при 4°C
2-иодбутан	1.595	относительно воды при 4°C
2-иодпропан	1.7033	относительно воды при 4°C
2-метил-1-бутантиол	0.8415	г/см³
2-метил-1-пропантиол	0.8357	г/см³
2-метил-1-этоксипропан	0.751	относительно воды при 4°C
2-метил-2-метоксипропан	0.7405	г/см³
2-метил-2-пропантиол	0.8002	г/см³
2-метил-2-этоксипропан	0.7456	г/см³
2-метил-3-пентанол	0.8243	г/см³
2-метил-3-пентанол	0.826	г/см³
2-метил-5-изопропилбицикло[3.1.0]гексен-2	0.831	г/см³
2-метил-5-изопропилбицикло[3.1.0]гексен-3	0.8208	г/см³
2-метил-N-(2-метилпропил)пропан-1-амин	0.745	г/см³
2-метиланилин	0.9984	относительно воды при 4°C
2-метилбензальдегид	1.0386	относительно воды при 4°C
2-метилбензальдегид	1.039	относительно воды при 4°C
2-метилбута-1,3-диен	0.6809	относительно воды при 4°C
2-метилбута-1,3-диен	0.6849	относительно воды при 4°C
2-метилбутан	0.6201	относительно воды при 4°C
2-метилгексан	0.67869	относительно воды при 4°C
2-метилдекан	0.7368	г/см³
2-метилнонадекан	0.7876	г/см³
2-метилнонан	0.7281	г/см³
2-метилпентан	0.6599	относительно воды при 4°C
2-метилпроп-2-ен-1-ол	0.8515	относительно воды при 4°C
2-метилпропан-1-амин	0.736	г/см³
2-метилпропан-1-ол	0.8027	г/см³
2-метилпропан-1-ол	0.80576	г/см³
2-метилпропан-2-амин	0.696	г/см³
2-метилпропан-2-ол	0.7887	г/см³
2-метилпропаналь	0.7938	относительно воды при 4°C
2-метилпропеновая кислота	1.0153	г/см³
2-метилпропеновой кислоты метиловый эфир	0.946	г/см³
2-метилфенол	1.0465	г/см³
2-метилфуран α-форма	0.9159	относительно воды при 4°C
2-метокси-3,4-метилендиокси-1-аллилбензол	1.1346	г/см³
2-метокси-4-(проп-2-енил)фенол	1.062	г/см³
2-метокси-4-(проп-2-енил)фенол	1.0664	г/см³
2-метоксибензальдегид	1.133	г/см³
2-метоксифенол	1.1287	г/см³
2-нафтол	1.28	г/см³
2-нитро-2-хлорпропан	1.179	г/см³
2-нитро-2-хлорпропан	1.193	г/см³
2-нитропропан	0.9884	г/см³
2-нитрофенол	1.2945	г/см³
2-нитрофенол	1.485	г/см³
2-нитроэтанол	1.27	относительно воды при 4°C
2-оксопропановая кислота	1.267	г/см³
2-октин	0.7596	относительно воды при 4°C
2-пирон	1.2	г/см³
2-пирролидон	1.097	относительно воды при 4°C
2-пирролидон	1.12	относительно воды при 4°C
2-пропантиол	0.8055	г/см³
2-пропилпентановая кислота	0.9215	относительно воды при 4°C
2-пропиннитрил	0.8159	относительно воды при 4°C
2-трифторметилпентафторпропен	1.5922	г/см³
2-фенилэтанамин	0.964	г/см³
2-фенилэтанол	1.0235	г/см³
2-фторэтанол	1.04	относительно воды при 4°C
2-фторэтанол	1.11124	г/см³
2-фуранкарбальдегид	1.1598	г/см³
2-хлор-1,3-бутадиен	0.9583	относительно воды при 20°C
2-хлорбензойная кислота	1.544	относительно воды при 4°C
2-хлорпропан	0.8617	относительно воды при 4°C
2-хлорфенол α-форма	1.235	г/см³
2-хлорфенол α-форма	1.241	г/см³
