Обожайка бат. глаз с минд со вк крем-брюле 1/25гр х 90шт 2,25кг (вафли)	7,58
Леденцовая карамель "Карусель" 14гр/60шт	7,59
Раз-два 30 г 48 шт ( конфеты)	7,59
Ух-ты 30 г 48 шт ( конфеты)	7,71
Шок.плитки 60% 1*4бл.*90 шт. 12 гр. Какао	7,77
дЖу-дЖу-дЖув медвежата мармел. 1/25гр./70шт. (жев.мармелад)	7,81
дЖу-дЖу-дЖув фрукт.ассорти мармел. 1/25гр./70шт. (жев.мармелад)	7,81
Сокол Пай с вар.сгущёнкой глаз.с ароматом крем-брюле 1/25гр./144шт. (зефир)	7,98
Козинак подсолнечный 50гр. 1* 4 бл.*28шт.	8,10
Автогонки ш/б фас 1/30гр 4*36шт (вафли)	8,17
дЖу-дЖу-дЖув фрукт.медвежата мармел. 1/25гр./70шт. (жев.мармелад)	8,23
Обожайка с ароматом крем-брюле 1/50гр 40шт (вафли)	8,28
Ух-ты 30 г 48 шт ( конфеты)	8,28
Ронни сгущённое молоко 43 гр. 1/93 шт. (печенье)	8,31
Козинаки подсолн. Тимоша 1/4бл.*28 шт. 40 гр. (батончик )	8,32
Bonjour souffle классика 1/6бл*27шт./29 гр. (десерты )	8,47
Bonjour souffle" вк.клубники со сливками 1/6бл*27шт./29 гр. (десерты )	8,47
Bonjour souffle ликёр 1/6бл*27шт./29 гр. (десерты )	8,47
Bonjour souffle" ваниль 1/6бл*27шт./29 гр. (десерты )	8,47
Bonjour souffle" лайм 1/6бл*27шт./29 гр. (десерты )	8,47
Мини-рулеты "Мастер Десерта" (абрикос) 1*4бл.*24 шт. 35 гр. РКК	8,51
Мини-рулеты "Мастер Десерта" из светлого теста (вар.сгущенка) 1*4бл.*24 шт. 35 гр. РКК	8,51
Мини-рулеты "Мастер Десерта" из светлого теста (клубника) 1*4бл.*24 шт. 35 гр. РКК	8,51
Мини-рулеты "Мастер Десерта" из светлого теста (шок.-орех) 1*4бл.*24 шт. 35 гр. РКК	8,51
Мини-рулеты "Мастер Десерта"из темн.теста (вишня) 1*4бл.*24 шт. 35 гр. РКК	8,51
Левушка 1/50шт. 40 гр. (конфеты )	8,60
Нежная сказка мол.крем (пирожное бисквитное) 1/30гр*32 шт	8,61
Нежная сказка мол.крем (пирожное бисквитное) 1/30гр*32 шт	8,61
Нежная сказка ягодный десерт (пирожное бисквитное) 1/35гр*28 шт	8,61
Козинак с арахисом 35 гр. 1/30 шт (конфеты )	8,63
Левушка 1/50шт. 40 гр. (конфеты )	8,77
